sku;Produto;Descricao Curta;Tipo Produto;pvp;PC_medio;Descontinuado;Fornecedor;Localizacao Criacao;Peso Bruto;Altura;Largura;Comprimento
1;Frango churrasco;Frango churrasco;Normal;9;4;FALSO;PATEO;LOJA;0;0;0;0
10003;Aguardente Chancella 700Ml;Aguardente Chancella 700M;Normal;39,9;12,59;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0;1;1;0,012
10004;Aguardente Fim Seculo 40 Anos 700Ml;Aguardente FS 40 Anos;Normal;155;100,42;FALSO;ENOPORT - EXP BEBIDAS S. A;POPUP;13;0,3;0,37;0,28
10006;Aguardente Velha De Vinho Verde Ferreirinha 500Ml;Aguardente Ferreirinha;Normal;85;36,97;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,005;0;0;0
10010;Alianca Reserva t 750ml;Alianca Reserva t 750ml;Normal;11;2,942765;FALSO;BACALHOA  VINHOS PORTUGAL;POPUP;0,012;0;0;0
10012;Azeite andorinha lata 200ml;Andorinha Lata 200;Normal;3,25;1,77532;FALSO;SOVENA PORTUGAL - CONSUMER GOODS S.A.;POPUP;5,62;0,106;0,269;0,282
10013;Azeite andorinha lata 500ml;Azeite Andorinha Lata 500;Normal;6,9;3,92;FALSO;SOVENA PORTUGAL - CONSUMER GOODS S.A.;POPUP;12,2;0,145;0,28;0,36
10017;Azeitona preta os classico suave 420gr;Azeitona Preta Os Classic;Normal;3,5;1,74;FALSO;SOVENA PORTUGAL - CONSUMER GOODS S.A.;POPUP;8,355;0,118;0,247;0,33
10019;Azeitona verde os classico 420gr;Azeitona Verde OS Classic;Normal;3,9;1,879259;FALSO;SOVENA PORTUGAL - CONSUMER GOODS S.A.;POPUP;8,355;0,118;0,247;0,33
10021;Brandy Constantino 700Ml;Brandy Constantino;Normal;22;4,565;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,011;0,011;1;1
10022;Camillo alves b tetrabrik 1l 11%;Camillo alves b tetrabrik;Normal;6,2;1,58;FALSO;ENOPORT - EXP BEBIDAS S. A;POPUP;12,4;0,176;0,204;0,393
10023;Camillo alves b 750ml 11%;Camillo alves b 750ml 11%;Normal;5,95;1,367265;FALSO;ENOPORT - EXP BEBIDAS S. A;POPUP;13,4;0,255;0,24;0,32
10026;Camillo alves t tetrabrik 1l 11%;Camillo alves t tetrabrik;Normal;6,2;1,557249;FALSO;ENOPORT - EXP BEBIDAS S. A;POPUP;12,4;0,176;0,204;0,393
10033;Cerelac papa trigo 500gr;Cerelac papa trigo 500gr;Normal;7,5;3,702658;FALSO;RECHEIO S.A.;POPUP;4,6;0,215;0,152;0,395
10037;Chourico carne nobre lata;Chourico Carne Nobre Lata;Normal;7,5;4,342176;FALSO;NOBRE, INDUSTRIAS CARNES NOBRE, S.A;POPUP;14,1;0,15;0,32;0,415
10040;Conjunto enchidos nobre lata 1150gr;Conjunto Enchidos Nobre L;Normal;11,7;5,8836;FALSO;NOBRE, INDUSTRIAS CARNES NOBRE, S.A;POPUP;1,1;0,02;1;1
10041;Duque De Viseu Dao T 750Ml;Duque De Viseu Dao T;Normal;14;4,42;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,014;1;1;0,014
10047;Esporao Reserva Alentejo Tinto 750Ml;Esporao Reserva Alentejo;Normal;28;11,34;FALSO;ESPORAO S.A;POPUP;0,015;0;0;0
10048;Farinheira nobre lata 1150gr;Farinheira Nobre Lata;Normal;9,9;4,814;FALSO;NOBRE, INDUSTRIAS CARNES NOBRE, S.A;POPUP;1,15;0,02;1;1
10056;Pratos Nobre - Feijoada a Transmontana;Pratos Nobre - Feijoada a;Normal;3,3;1,62;FALSO;NOBRE, INDUSTRIAS CARNES NOBRE, S.A;POPUP;0,5;0,008;1;1
10058;Gatao verde b 750ml;Gatao Verde B;Normal;11,25;3,49;FALSO;SOCIEDADE VINHOS BORGES, SA;POPUP;8,4;0,239;0,325;0,234
10060;Gazela Verde B 750 Ml;Gazela Verde B 750 Ml;Normal;11,2;3,30373;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,013;1;1;0,011
10067;Grao Vasco Dao B 750 Ml;Grao Vasco Dao B 750 Ml;Normal;8,5;2,738;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,014;10;1;0,013
10069;Grao Vasco Dao T 750 Ml;Grao Vasco Dao T 750 Ml;Normal;7,5;2,501062;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,014;10;1;0,013
10074;JP azeitao B 750ml screwcap;Jp Azeitao B;Normal;7;1,952769;FALSO;BACALHOA  VINHOS PORTUGAL;POPUP;7,5;0,328;0,15;0,225
10075;JP azeitao T 750ml screwcap;Jp Azeitao Tinto 750Ml;Normal;7;2,129329;FALSO;BACALHOA  VINHOS PORTUGAL;POPUP;7,5;0,328;0,15;0,225
10076;Licor beirao 700ml;Licor beirao 700ml;Normal;15;5,734091;FALSO;J.CARRANCA REDONDO,LDA;POPUP;9,27;0,27;0,29;0,2
10077;Linguica nobre lata 1150gr;Linguica Nobre Lata;Normal;12,5;6,515034;FALSO;NOBRE, INDUSTRIAS CARNES NOBRE, S.A;POPUP;14,1;0,151;0,321;0,415
10081;Vermute martini rosso 1l;Vermute martini rosso 1l;Normal;22;10,684667;FALSO;RECHEIO S.A.;POPUP;20;0,34;0,27;0,32
10082;Mateus rose 375ml;Mateus rose 375ml;Normal;6;2,12;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,021;1;1;0,015
10083;Mateus rose 750ml;Mateus rose 750ml;Normal;9,95;3,46;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,018;1;1;0,018
10085;Meia pipa T 750ml;Meia Pipa T;Normal;15;5,609725;FALSO;BACALHOA  VINHOS PORTUGAL;POPUP;8,4;0,319;0,166;0,249
10086;Monte Velho T 750Ml;Monte Velho T 750;Normal;10;4,035146;FALSO;ESPORAO S.A;POPUP;0,012;0;0;0
10087;Morcela nobre lata 1150gr;Morcela Nobre Lata;Normal;9,6;4,727;FALSO;NOBRE, INDUSTRIAS CARNES NOBRE, S.A;POPUP;1,15;0,02;1;1
10088;Morgadio Da Torre Alvarinho 750Ml;Morgadio Da Torre Alvarin;Normal;23,1;9,64;FALSO;SOGRAPE ASIA PACIFIC;POPUP;0,014;1;1;0,014
10090;Moscatel setubal bacalhoa 750ml;Moscatel setubal bacalhoa;Normal;13;3,791105;FALSO;BACALHOA  VINHOS PORTUGAL;POPUP;16;0,347;0,239;0,311
