sku;I;II;III;V;Descripcion;Articulo
10003;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;AGUARDENTE;Aguardente Chancella 700Ml;Aguardente Chancella 700Ml
10004;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;AGUARDENTE;Aguardente Fim Seculo 40 Anos 700Ml;Aguardente Fim Seculo 40 Anos 700Ml
10006;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;AGUARDENTE;Aguardente Velha De Vinho Verde Ferreirinha 500Ml;Aguardente Velha De Vinho Verde Ferreirinha 500Ml
10010;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO BAIRRADA;Alianca Reserva t 750ml;Alianca Reserva t 750ml
10012;ALIMENTAR;MERCEARIA;SECO;AZEITE;Azeite andorinha lata 200ml;Azeite andorinha lata 200ml
10013;ALIMENTAR;MERCEARIA;SECO;AZEITE;Azeite andorinha lata 500ml;Azeite andorinha lata 500ml
10017;ALIMENTAR;MERCEARIA;SECO;AZEITONAS;Azeitona preta os classico suave 420gr;Azeitona preta os classico suave 420gr
10019;ALIMENTAR;MERCEARIA;SECO;AZEITONAS;Azeitona verde os classico 420gr;Azeitona verde os classico 420gr
10021;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;BRANDY;Brandy Constantino 700Ml;Brandy Constantino 700Ml
10022;ALIMENTAR;VINHO;VINHO BRANCO;VINHO MESA BRANCO;Camillo alves b tetrabrik 1l 11%;Camillo alves b tetrabrik 1l 11%
10023;ALIMENTAR;VINHO;VINHO BRANCO;VINHO MESA BRANCO;Camillo alves b 750ml 11%;Camillo alves b 750ml 11%
10026;ALIMENTAR;VINHO;VINHO TINTO;VINHO DE MESA;Camillo alves t tetrabrik 1l 11%;Camillo alves t tetrabrik 1l 11%
10033;ALIMENTAR;MERCEARIA;SECO;ALIMENTAÇÃO INFANTIL;Cerelac papa trigo 500gr;Cerelac papa trigo 500gr
10037;ALIMENTAR;MERCEARIA;SECO;CONSERVAS CARNE;Chourico carne nobre lata;Chourico carne nobre lata
10040;ALIMENTAR;MERCEARIA;SECO;CONSERVAS CARNE;Conjunto enchidos nobre lata 1150gr;Conjunto enchidos nobre lata 1150gr
10041;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DAO;Duque De Viseu Dao T 750Ml;Duque De Viseu Dao T 750Ml
10047;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO ALENTEJO;Esporao Reserva Alentejo Tinto 750Ml;Esporao Reserva Alentejo Tinto 750Ml
10048;ALIMENTAR;MERCEARIA;SECO;CONSERVAS CARNE;Farinheira nobre lata 1150gr;Farinheira nobre lata 1150gr
10056;ALIMENTAR;MERCEARIA;SECO;REFEIÇÕES PRONTAS SECAS;Pratos Nobre - Feijoada a Transmontana;Pratos Nobre - Feijoada a Transmontana
10058;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO VERDE;Gatao verde b 750ml;Gatao verde b 750ml
10060;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO VERDE;Gazela Verde B 750 Ml;Gazela Verde B 750 Ml
10067;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO DAO;Grao Vasco Dao B 750 Ml;Grao Vasco Dao B 750 Ml
10069;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO DAO;Grao Vasco Dao T 750 Ml;Grao Vasco Dao T 750 Ml
10074;ALIMENTAR;VINHO;VINHO BRANCO;VINHO BRANCO SETUBAL;JP azeitao B 750ml screwcap;JP azeitao B 750ml screwcap
10075;ALIMENTAR;VINHO;VINHO TINTO;VINHO TINTO SETUBAL;JP azeitao T 750ml screwcap;JP azeitao T 750ml screwcap
10076;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;LICORES;Licor beirao 700ml;Licor beirao 700ml
10077;ALIMENTAR;MERCEARIA;SECO;CONSERVAS CARNE;Linguica nobre lata 1150gr;Linguica nobre lata 1150gr
10081;ALIMENTAR;BEBIDAS;BEBIDAS ALCOHOL;VERMUTE;Vermute martini rosso 1l;Vermute martini rosso 1l
10082;ALIMENTAR;VINHO;VINHO ROSE;VINHO ROSE;Mateus rose 375ml;Mateus rose 375ml
