"","sku","stock_actual","prevision_total","stock_meses","PC_medio","Altura","Largura","Comprimento","valor_stock_usd","stock_meses_1"
"1","11881",126,"  172,1",0,"   2,145","0,12","0,22","0,295","  270,22",0
"2","22165",36,"    0,0",0,"   0,000","0","0","0","    0,00",12
"3","10364",63,"   71,5",0,"   2,325","0,102","0,128","0,284","  146,48",0
"4","16011",0,"    0,0",0,"   0,292","0","0","0","    0,00",12
"5","15932",5,"    0,0",0,"  15,000","0","0","0","   75,00",12
"6","17553",34," 1405,7",0,"   0,650","0","0","0","   22,10",0
"7","19597",0,"    0,0",0,"   1,250","0","0","0","    0,00",12
"8","19601",0,"    0,0",0,"   1,250","0","0","0","    0,00",12
"9","19619",10,"   16,0",0,"   3,200","0,33","0,23","0,155","   32,00",0
"10","19629",35,"   30,0",1,"   3,500","0","0","0","  122,50",1
"11","19681",0,"    0,0",0,"   2,520","0,042","1","1","    0,00",12
"12","19688",191,"    9,7",12,"   1,270","0,096","1","1","  242,57",12
"13","19710",0,"    0,0",0,"   2,940","0,057","1","1","    0,00",12
"14","19729",0,"    0,0",0,"   2,780","0,096","1","1","    0,00",12
"15","19732",0,"    0,0",0,"   2,430","0,005","1","1","    0,00",12
"16","19738",0,"    0,0",0,"   2,000","0","0","0","    0,00",12
"17","19742",0,"    0,0",0,"   7,000","0","0","0","    0,00",12
"18","19744",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"19","19748",0,"    0,0",0,"   3,500","0","0","0","    0,00",12
"20","19750",0,"    0,0",0,"   1,957","0","0","0","    0,00",12
"21","19768",0,"    0,0",0,"   6,276","0,11","0,22","0,41","    0,00",12
"22","19769",0,"    0,0",0,"  11,995","0,12","0,16","0,455","    0,00",12
"23","19770",0.025,"   16,8",0,"  11,823","0,12","0,16","0,455","    0,30",0
"24","19772",0,"    0,0",0,"   4,600","0,1","0,23","0,275","    0,00",12
"25","19790",53,"    6,0",8,"   8,090","0,093","1","1","  428,77",8
"26","19844",59,"   42,9",1,"   7,110","0,245","0,3","0,18","  419,49",1
"27","19853",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"28","19859",0,"    0,0",0,"   0,420","1","1","0,002","    0,00",12
"29","19908",200,"  148,9",1,"   0,730","0,39","0,22","0,156","  146,00",1
"30","19919",6,"    6,0",1,"   5,500","0","0","0","   33,00",1
"31","19927",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"32","19935",51,"   15,9",3,"   0,910","0,016","1","1","   46,41",3
"33","19765",0,"    0,0",0,"   4,208","0,205","0,21","0,325","    0,00",12
"34","19835",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"35","19842",12,"   21,4",0,"   8,790","0,104","0,233","0,33","  105,48",0
"36","19845",0,"   27,4",0,"   7,120","0,3","0,25","0,18","    0,00",0
"37","19850",0,"    0,0",0,"   8,340","0,18","0,8","0,112","    0,00",12
"38","19858",57,"    0,0",0,"   1,070","1","1","0,005","   60,99",12
"39","19903",0,"    0,0",0,"   0,120","0,041","1","1","    0,00",12
"40","19904",421,"   39,7",10,"   0,100","0,039","1","1","   42,10",10
"41","19920",14,"   16,8",0,"  10,000","0","0","0","  140,00",0
"42","19924",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"43","19926",0,"    0,0",0,"  30,000","0","0","0","    0,00",12
"44","19928",0,"    0,0",0,"   5,000","0","0","0","    0,00",12
"45","19931",0,"    0,0",0," 151,250","0,9","0,33","0,33","    0,00",12
"46","19945",24,"    0,0",0,"   1,670","0,295","0,2","0,17","   40,08",12
"47","19949",24,"    0,0",0,"   1,580","0,295","0,2","0,17","   37,92",12
"48","19951",0,"    0,0",0,"   2,580","0,014","1","1","    0,00",12
"49","19952",0,"    0,0",0,"   2,580","0,014","1","1","    0,00",12
"50","19959",35,"   58,1",0,"   1,476","0,215","0,28","0,37","   51,67",0
"51","19961",46,"   56,7",0,"   1,966","0,215","0,28","0,37","   90,46",0
"52","19962",36,"    0,0",0,"   1,560","0,21","0,28","0,37","   56,16",12
"53","19967",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"54","19971",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"55","19972",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"56","19977",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"57","19983",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"58","19984",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"59","19986",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"60","20050",0,"    0,0",0,"   1,125","0","0","0","    0,00",12
