sku;Ano;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
1;2016;41;87;26;42;23;23;8;5;32;40;49;43
1;2017;0;0;0;0;0;0;0;0;0;0;1;0
1;2019;0;0;0;0;0;0;0;0;1;0;0;0
10;2016;66;29;12;0;0;0;0;0;0;0;0;0
10003;2016;2;6;10;6;9;14;6;4;5;20;7;18
10003;2017;8;6;7;10;13;16;7;11;6;17;15;16
10003;2018;17;28;22;25;31;23;33;17;0;0;0;14
10003;2019;10;19;17;8;0;0;0;8;6;21;16;11
10004;2017;1;0;0;0;0;0;0;1;2;1;0;0
10004;2016;0;1;2;0;0;0;0;0;0;0;0;0
10006;2016;0;1;0;1;1;0;2;0;0;0;1;0
10006;2017;1;0;0;0;0;0;0;2;0;0;0;0
10006;2018;0;0;0;0;0;0;0;0;2;0;0;3
10006;2019;0;0;3;0;2;0;3;0;0;0;8;0
10010;2019;0;0;0;0;0;0;0;15;11;62;10;20
10010;2018;7;3;3;13;11;10;16;14;16;23;45;32
10010;2017;15;9;28;19;19;13;12;17;7;2;3;19
10010;2016;11;44;56;10;6;14;7;9;11;14;12;34
10012;2016;199;166;758;801;646;1178;55;0;0;0;20;0
10012;2017;545;2095;1876;1494;-15;2515;375;95;0;799;2876;11567
10012;2018;67;0;0;0;0;2791;684;1113;1027;1363;736;1745
10012;2019;603;1192;760;747;994;1536;1888;2018;1289;1444;1645;699
10013;2019;110;39;0;0;0;0;0;0;0;0;2103;758
10013;2018;2052;1482;575;597;1275;608;1078;1140;820;1147;350;1006
10013;2017;748;1215;731;2392;584;991;1756;1124;1575;935;0;0
10013;2016;247;259;56;0;0;0;0;0;0;0;1720;2112
10017;2016;0;2;9;5;2;6;0;0;0;22;70;25
10017;2017;0;0;0;0;0;90;13;54;11;138;139;80
10017;2018;71;118;36;21;4;86;21;19;12;40;19;107
10017;2019;22;32;44;23;30;34;50;45;88;23;74;9
10019;2019;20;27;30;44;40;121;31;42;4;24;87;17
10019;2018;48;190;0;0;0;90;23;18;18;35;27;102
10019;2017;0;0;0;0;0;85;29;106;9;141;-34;166
10019;2016;0;4;26;12;19;29;14;26;79;36;80;94
100201;2016;0;0;0;0;2;1;0;0;0;3;0;0
100201;2017;0;1;0;1;0;0;0;0;0;0;0;0
10021;2017;1;1;3;6;5;4;0;0;5;2;5;4
10021;2016;1;8;3;14;3;13;9;8;8;7;1;13
10021;2018;3;2;0;0;1;31;1;5;2;3;1;36
10021;2019;12;2;4;1;6;13;7;7;13;5;3;5
10022;2019;45;0;113;257;223;13;0;211;97;291;0;0
10022;2018;58;43;40;74;65;62;0;123;199;174;136;104
10022;2016;0;0;0;0;0;0;0;0;0;256;97;178
10022;2017;193;92;119;170;153;114;66;210;54;58;114;202
10023;2017;28;27;16;34;123;23;107;80;64;60;189;96
10023;2016;0;0;25;384;68;21;104;0;0;234;78;149
10023;2018;34;61;59;150;91;80;87;117;141;103;72;90
10023;2019;75;136;85;0;0;0;0;160;82;132;135;160
10026;2019;5039;3894;10324;11076;6133;4372;5476;5483;8005;7248;5370;5156
10026;2018;9886;5637;6570;6530;4607;6270;3385;5630;3523;10890;4847;11436
10026;2016;5220;0;0;16799;5054;7870;8769;1623;6145;9052;6379;5384
10026;2017;6831;250;0;20451;11709;3439;6122;5102;4849;9731;4837;4990
10030;2016;1;8;30;37;0;0;0;0;0;0;0;0
10033;2016;24;18;28;31;29;30;52;90;250;85;0;0
10033;2017;0;0;0;0;0;0;0;0;47;29;4;0
10033;2018;0;0;0;25;24;22;20;24;40;47;49;42
10033;2019;42;30;36;24;0;0;0;4;30;49;38;46
10037;2019;0;0;0;1471;537;1357;657;1217;595;619;589;1119
10037;2018;991;2093;1275;597;930;1449;789;985;891;1039;894;2839
10037;2017;1063;905;606;756;1477;762;1110;954;1166;1450;1266;2454
10037;2016;0;0;1230;791;1107;922;1670;925;1027;1037;1093;2120
10039;2016;0;1;0;1;0;2;0;0;0;2;0;0
10039;2017;1;1;0;0;0;0;0;0;6;0;0;0
10039;2018;0;0;0;1;0;0;0;15;0;0;0;0
10040;2018;356;0;0;0;0;0;0;0;4;43;9;63
10040;2017;65;31;12;27;14;15;11;12;30;20;23;76
10040;2016;57;23;27;31;103;0;0;0;0;0;0;131
10040;2019;29;57;48;7;28;24;17;17;13;4;9;3
10041;2019;10;22;1;4;11;2;1;2;1;2;0;6
10041;2016;40;7;1;0;0;0;0;0;6;0;7;8
10041;2017;7;2;8;19;13;7;10;16;16;10;2;3
10041;2018;7;4;1;1;4;121;6;4;3;5;2;14
10047;2018;2;4;1;0;2;2;0;1;1;21;6;36
10047;2017;3;5;3;0;0;0;0;0;0;0;2;36
10047;2016;1;3;60;1;1;8;2;6;14;7;8;67
10047;2019;0;0;0;0;2;7;1;1;2;4;8;36
10048;2019;40;34;21;29;41;41;29;19;53;15;15;4
10048;2016;26;88;8;52;38;10;20;37;2;21;62;154
10048;2017;39;1;63;20;70;29;0;66;5;56;17;47
10048;2018;4;31;0;101;35;54;6;27;7;41;7;89
10056;2018;26;91;54;67;55;0;0;0;1;58;49;33
10056;2017;7;0;68;29;16;7;0;35;40;38;12;63
10056;2016;0;0;19;32;12;49;25;39;73;49;60;113
10056;2019;18;84;57;53;38;40;65;47;29;36;16;55
10058;2019;1;8;0;2;1;6;2;0;5;2;3;5
10058;2016;6;3;1;3;4;4;5;5;21;10;12;1
10058;2017;2;5;6;1;4;3;38;2;10;4;8;3
10058;2018;10;4;37;0;0;0;0;0;0;1;1;1
10060;2018;21;52;55;21;30;13;17;4;21;15;15;7
10060;2017;45;39;27;46;26;16;24;27;47;28;27;12
10060;2016;10;41;35;41;32;30;24;7;21;70;25;33
10060;2019;5;15;15;52;62;75;36;1;13;10;3;13
10061;2016;7;9;0;0;0;0;0;0;0;0;0;0
10067;2016;0;0;0;27;107;13;48;8;38;83;46;149
10067;2017;23;39;28;25;26;4;57;236;242;66;0;0
10067;2018;0;0;0;15;27;29;53;57;27;34;50;90
10067;2019;13;42;4;19;7;22;54;52;42;15;59;39
10068;2017;4;17;1;0;24;3;4;0;0;0;0;18
10068;2016;0;2;0;0;0;0;13;0;25;6;6;15
10069;2016;4;66;144;1342;884;384;372;674;511;733;554;697
10069;2017;173;387;366;397;619;409;1903;2536;2257;2258;1852;1334
10069;2018;0;1;399;319;500;317;322;411;650;318;200;479
10069;2019;459;618;603;609;620;703;846;872;527;0;102;591
10074;2019;0;0;0;42;64;92;73;91;59;40;87;189
10074;2018;48;18;65;87;36;77;142;243;4;0;0;0
10074;2017;44;180;64;0;0;22;68;84;48;0;46;73
10074;2016;3;0;120;0;0;24;48;107;0;38;102;40
10075;2016;0;160;1601;347;392;316;450;622;719;623;770;1167
10075;2017;946;516;817;704;902;735;1076;1076;1054;972;842;1727
